Property Name,Rent Prices,Room size,Floor,Date
Niche Mono Sukhumvit - Bearing,9500,28,11-20,2023-07-09 10:19:00
Noble Reveal,24000,48,11-20,2023-09-19 17:55:00
Knightsbridge Skycity Saphanmai,9000,24,1-10,2022-09-30 7:13:00
Noble Revolve Ratchada 2,17000,38,11-20,2023-07-07 12:44:00
Klangkrung Resort,26900,107,1-10,2023-09-20 10:44:00
Aspire Sathorn - Thapra,11000,31,11-20,2023-09-23 14:47:00
Noble Revolve Ratchada,12000,27,21-30,2022-06-09 13:45:00
Park 24,17000,30,21-30,2023-12-09 15:58:00
Park 24,18000,30,21-30,2023-01-06 14:07:00
ISSI Condo Suksawat,6900,25,11-20,2023-09-23 14:47:00
Rhythm Rangnam,40000,48,11-20,2023-09-17 22:46:00
IDEO Q Chula - Samyan,20000,34.5,11-20,2023-08-13 6:00:00
IDEO Q Siam - Ratchathewi,18000,34,21-30,2023-09-23 14:47:00
The Origin Sukhumvit 105,9000,28,1-10,2023-07-09 10:18:00
Metro Park Sathorn,7500,42,1-10,2023-09-16 12:39:00
Chewathai Hallmark Ladprao - Chokchai 4,11000,27,1-10,2023-09-23 14:47:00
IDEO O2,9000,28.5,31-40,2023-09-23 14:47:00
XT PHAYATHAI,21000,42,21-30,2023-09-24 7:34:00
Lumpini Ville On Nut 46,6000,23,1-10,2023-09-23 14:47:00
Life Ladprao Valley,18000,35,11-20,2023-09-16 12:39:00
Lumpini Place Ratchada - Sathu,10000,28,11-20,2023-09-23 14:47:00
THE MUVE Bangna,7500,24,1-10,2023-09-21 11:26:00
Noble Revolve Ratchada,13000,22,41-50,2023-09-22 23:21:00
Nue Noble Srinakarin - Lasalle,9000,27,11-20,2023-07-13 22:46:00
TKF Condo,10000,35,1-10,2023-09-23 14:47:00
Knightsbridge Prime Onnut,15000,24,21-30,2023-09-15 11:30:00
Lumpini Place Rama IX - Ratchada,13000,37,1-10,2023-09-23 14:47:00
Metro Luxe Ratchada,16000,38,1-10,2023-09-23 14:47:00
Unio Rama 2 - Thakham,6500,26,1-10,2023-09-23 14:47:00
Lumpini Place Rama 4 - Kluaynamthai,10500,28.7,21-30,2023-07-29 13:00:00
